"type","region","district","ward","village","population","in shapefile"
"region","Dodoma","","","",2083588,"n"
"district","Dodoma","Kondoa","","",269704,"n"
"ward","Dodoma","Kondoa","Bumbuta","",8602,"y"
"village","Dodoma","Kondoa","Bumbuta","Bumbuta",3113,"n"
"village","Dodoma","Kondoa","Bumbuta","Mahongo",1218,"n"
"village","Dodoma","Kondoa","Bumbuta","Mauno",4270,"n"
"ward","Dodoma","Kondoa","Pahi","",13944,"y"
"village","Dodoma","Kondoa","Pahi","Pahi",6169,"n"
"village","Dodoma","Kondoa","Pahi","Potea",2402,"n"
"village","Dodoma","Kondoa","Pahi","Salare",1614,"n"
"village","Dodoma","Kondoa","Pahi","Kiteo",3759,"n"
"ward","Dodoma","Kondoa","Busi","",18724,"y"
"village","Dodoma","Kondoa","Busi","Busi",3036,"n"
"village","Dodoma","Kondoa","Busi","Sambwa",3565,"n"
"village","Dodoma","Kondoa","Busi","Keikei",4447,"n"
"village","Dodoma","Kondoa","Busi","Idindiri",2923,"n"
"village","Dodoma","Kondoa","Busi","Ihari",2576,"n"
"village","Dodoma","Kondoa","Busi","Isusumya",2177,"n"
"ward","Dodoma","Kondoa","Haubi","",13757,"y"
"village","Dodoma","Kondoa","Haubi","Haubi",6393,"n"
"village","Dodoma","Kondoa","Haubi","Ntomoko",4553,"n"
"village","Dodoma","Kondoa","Haubi","Mafai",2812,"n"
"ward","Dodoma","Kondoa","Kalamba","",13988,"y"
"village","Dodoma","Kondoa","Kalamba","Baura",1471,"n"
"village","Dodoma","Kondoa","Kalamba","Kalamba chini",2668,"n"
"village","Dodoma","Kondoa","Kalamba","Hebi Chini",2726,"n"
"village","Dodoma","Kondoa","Kalamba","Loo",3303,"n"
"village","Dodoma","Kondoa","Kalamba","Hebi Juu",1092,"n"
"village","Dodoma","Kondoa","Kalamba","Kalamba Juu",2728,"n"
"ward","Dodoma","Kondoa","Kwadelo","",11593,"y"
"village","Dodoma","Kondoa","Kwadelo","Kwadelo",5744,"n"
"village","Dodoma","Kondoa","Kwadelo","Kirere cha Ng'ombe",1145,"n"
"village","Dodoma","Kondoa","Kwadelo","Makirinya",4704,"n"
"ward","Dodoma","Kondoa","Masange","",5388,"y"
"village","Dodoma","Kondoa","Masange","Masange",3688,"n"
"village","Dodoma","Kondoa","Masange","Kwayondu",1700,"n"
"ward","Dodoma","Kondoa","Kikilo","",9318,"y"
"village","Dodoma","Kondoa","Kikilo","Kikilo Kati",2676,"n"
"village","Dodoma","Kondoa","Kikilo","Kikilo Ororimo",1815,"n"
"village","Dodoma","Kondoa","Kikilo","Kwahengwa",1760,"n"
"village","Dodoma","Kondoa","Kikilo","Berabera",3067,"n"
"ward","Dodoma","Kondoa","Bereko","",7226,"y"
"village","Dodoma","Kondoa","Bereko","Puhi",2416,"n"
"village","Dodoma","Kondoa","Bereko","Bereko",4810,"n"
"ward","Dodoma","Kondoa","Kisese","",12989,"y"
"village","Dodoma","Kondoa","Kisese","Mapinduzi",1437,"n"
"village","Dodoma","Kondoa","Kisese","Kisese sauna",2759,"n"
"village","Dodoma","Kondoa","Kisese","Madisa",2454,"n"
"village","Dodoma","Kondoa","Kisese","Kisese Dissa",3138,"n"
"village","Dodoma","Kondoa","Kisese","Atta",3200,"n"
"ward","Dodoma","Kondoa","Kikore","",13044,"y"
"village","Dodoma","Kondoa","Kikore","Kikore",2649,"n"
"village","Dodoma","Kondoa","Kikore","Madege",798,"n"
"village","Dodoma","Kondoa","Kikore","Hurui",3701,"n"
"village","Dodoma","Kondoa","Kikore","Mitati",4932,"n"
"village","Dodoma","Kondoa","Kikore","Mkurumuzi",963,"n"
"ward","Dodoma","Kondoa","Serya","",6054,"y"
"village","Dodoma","Kondoa","Serya","Mongoroma",2389,"n"
"village","Dodoma","Kondoa","Serya","Chadimu",543,"n"
"village","Dodoma","Kondoa","Serya","Munguri",1239,"n"
"village","Dodoma","Kondoa","Serya","Serya",1883,"n"
"ward","Dodoma","Kondoa","Kilimani","",7237,"y"
