"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Arab World","ARB","46.9013928023312","46.6029615642694","46.2913327178367","45.9702651667857","45.6371964846451","45.2856750575148","44.9238255525212","44.5675728750657","44.217588658096","43.8758258875893","43.5467428954447","43.2411121624602","42.9468935665468","42.6608636542396","",
"Caribbean small states","CSS","58.5710646125715","58.4766771177265","58.4340020462275","58.3961411611755","58.358134634503","58.3327280939229","58.3113212296443","58.2926393664529","58.2745186680915","58.2537004850369","58.2250571932314","58.1702880126004","58.1039763695897","58.0251430270982","",
"Central Europe and the Baltics","CEB","38.4325607358728","38.4281942512109","38.3677391368699","38.3255995004185","38.2832496133194","38.2327702276193","38.1760491759287","38.1123658050857","38.0350070646192","37.9798402942359","37.9421543247537","37.9064207827058","37.8660482040345","37.806875829098","",
"East Asia & Pacific (all income levels)","EAS","58.7796402460912","57.7816667203993","56.6922385042785","55.6018705130481","54.5084280632828","53.4169424819635","52.3603369134239","51.3233643029224","50.278443442236","49.2443622820573","48.213957373554","47.1802072948509","46.1841955334222","45.2189859893549","",
"East Asia & Pacific (developing only)","EAP","63.3533451050328","62.3272694100782","61.2198705279366","60.1001660497857","58.9694420872766","57.8330851566869","56.7195406452073","55.6175983075601","54.5108445479187","53.4059574020267","52.3002013408867","51.1982305156694","50.1217213281586","49.0744739806715","",
"Euro area","EMU","27.3465283951738","27.1691779489228","26.9501989811009","26.725867738596","26.5063386845294","26.2870766223828","26.0545822460798","25.8145208907411","25.5771232091685","25.3417870994663","25.1066051682257","24.8719164175539","24.6422600709899","24.4211583154404","",
"Europe & Central Asia (all income levels)","ECS","31.6671894872789","31.5529770550598","31.3895286624574","31.2201537495154","31.0510413966756","30.879266123614","30.7015353990282","30.5156603647797","30.3351164021014","30.1687055589147","30.0089355243893","29.8489793694614","29.6853233170647","29.5132238186476","",
"Europe & Central Asia (developing only)","ECA","42.4692048636909","42.3484859556219","42.1713953908553","41.9608772617799","41.7480219377914","41.5330277448512","41.3204657719279","41.1107852230574","40.9072522825498","40.7136641493128","40.537616824076","40.3547874469493","40.1394446292068","39.9215934919929","",
"European Union","EUU","28.4402825499964","28.2892074818641","28.0696993718026","27.8575514295477","27.6478287821772","27.4347844822351","27.2104048465789","26.9722350852262","26.7355658742722","26.5101857169179","26.2878289912191","26.0710885613076","25.8572990427755","25.6427573354238","",
"Fragile and conflict affected situations","FCS","65.0692888645212","64.7202392548077","64.3762555848227","64.0514467615833","63.7216064952265","63.3638323298077","62.9921698767981","62.6044693380447","62.2082593968246","61.8096976494395","61.4132763464729","61.0197218273559","60.6224808824858","60.2211796658796","",
"Heavily indebted poor countries (HIPC)","HPC","71.5216503325852","71.202985966456","70.873507840102","70.52290126691","70.16396935553","69.7906615334495","69.4116550825369","69.0224339657388","68.6038569202962","68.1802072374108","67.7504940807552","67.3154968828674","66.8748389024559","66.4297572543007","",
"High income","HIC","23.5750351034097","23.2814834379431","22.9432978964128","22.6197521522633","22.3043101799693","21.9989041005743","21.7192229757713","21.4529211122668","21.1928836107481","20.9437692885721","20.7058985638561","20.47461097497","20.2473475078719","20.0352502192475","",
"High income: nonOECD","NOC","24.5938984338093","24.5109592577895","24.4371250492351","24.3457935991186","24.2077249675243","24.0512939439261","23.877290941082","23.6897127256971","23.4956556223168","23.3216524858933","23.1645175476506","23.008987796188","22.8587186725477","22.7200844797191","",
