County,Year,Indicator,Value,Geolocation
Baringo,2009,Urban households access to electricty,38.5,"(0.512912, 35.952537)"
Baringo,2009,Rural households access to electricty,4.7,"(0.512912, 35.952537)"
Baringo,2009,Urban households access to piped water,7.5,"(0.512912, 35.952537)"
Baringo,2009,Rural households access to piped water,53.3,"(0.512912, 35.952537)"
Baringo,2009,"Access to main sewer, sceptic tank or cess pit urban",0.3,"(0.512912, 35.952537)"
Baringo,2009,"Access to main sewer, sceptic tank or cess pit rural",7.6,"(0.512912, 35.952537)"
Baringo,2009,%  with Pre-Primary education,17.5,"(0.512912, 35.952537)"
Baringo,2009,%  with Primary education,67.7,"(0.512912, 35.952537)"
Baringo,2009,%  with Secondary education,11.7,"(0.512912, 35.952537)"
Baringo,2009,"%  with Tertiary education, university or youth polytechnic",3,"(0.512912, 35.952537)"
Baringo,2005,Incidence of Flu,45.9,"(0.512912, 35.952537)"
Baringo,2005,Incidence of Fever/Malaria,14.9,"(0.512912, 35.952537)"
Baringo,2005,Kenya average flu incidence,15,"(0.512912, 35.952537)"
Baringo,2005,Kenya average Fever/Malaria incidence,41.4,"(0.512912, 35.952537)"
Baringo,2009,% Employed (age 5 and over) female rural,83.5,"(0.512912, 35.952537)"
Baringo,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,30.3,"(0.512912, 35.952537)"
Baringo,2009,% Economically Inactive (aged 5 and over)female rural,4.7,"(0.512912, 35.952537)"
Baringo,2009,% Employment status unclassified (aged 5 and over)female rural,43.9,"(0.512912, 35.952537)"
Baringo,2009,% Employed (age 5 and over) male rural,82.7,"(0.512912, 35.952537)"
Baringo,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,37.8,"(0.512912, 35.952537)"
Baringo,2009,% Economically Inactive (aged 5 and over) male rural,5.8,"(0.512912, 35.952537)"
Baringo,2009,% Employment status unclassified (aged 5 and over)male rural,32.1,"(0.512912, 35.952537)"
Baringo,2009,% Employed (age 5 and over) female urban,85.1,"(0.512912, 35.952537)"
Baringo,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,31.6,"(0.512912, 35.952537)"
Baringo,2009, % Economically Inactive (aged 5 and over)female urban,6.7,"(0.512912, 35.952537)"
Baringo,2009,% Employment status unclassified (aged 5 and over) female urban,43,"(0.512912, 35.952537)"
Baringo,2009,% Employed (age 5 and over) male urban,82.4,"(0.512912, 35.952537)"
Baringo,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,39.6,"(0.512912, 35.952537)"
