ISO3166,Country / Territory,CPI 2011 Score,Country Rank
---,,,
NZL,New Zealand,9.5,1
DNK,Denmark,9.4,2
FIN,Finland,9.4,2
SWE,Sweden,9.3,4
SGP,Singapore,9.2,5
NOR,Norway,9.0,6
NLD,Netherlands,8.9,7
AUS,Australia,8.8,8
CHE,Switzerland,8.8,8
CAN,Canada,8.7,10
LUX,Luxembourg,8.5,11
HKG,Hong Kong,8.4,12
ISL,Iceland,8.3,13
DEU,Germany,8.0,14
JPN,Japan,8.0,14
AUT,Austria,7.8,16
BRB,Barbados,7.8,16
GBR,United Kingdom,7.8,16
BEL,Belgium,7.5,19
IRL,Ireland,7.5,19
BHS,Bahamas,7.3,21
CHL,Chile,7.2,22
QAT,Qatar,7.2,22
USA,United States,7.1,24
FRA,France,7.0,25
LCA,Saint Lucia,7.0,25
URY,Uruguay,7.0,25
ARE,United Arab Emirates,6.8,28
EST,Estonia,6.4,29
CYP,Cyprus,6.3,30
ESP,Spain,6.2,31
BWA,Botswana,6.1,32
PRT,Portugal,6.1,32
---,Taiwan,6.1,32
SVN,Slovenia,5.9,35
ISR,Israel,5.8,36
VCT,Saint Vincent and the Grenadines,5.8,36
BTN,Bhutan,5.7,38
MLT,Malta,5.6,39
PRI,Puerto Rico,5.6,39
CPV,Cape Verde,5.5,41
POL,Poland,5.5,41
---,Korea (South),5.4,43
BRN,Brunei,5.2,44
DMA,Dominica,5.2,44
BHR,Bahrain,5.1,46
---,Macau,5.1,46
MUS,Mauritius,5.1,46
RWA,Rwanda,5.0,49
CRI,Costa Rica,4.8,50
LTU,Lithuania,4.8,50
OMN,Oman,4.8,50
SYC,Seychelles,4.8,50
HUN,Hungary,4.6,54
KWT,Kuwait,4.6,54
JOR,Jordan,4.5,56
CZE,Czech Republic,4.4,57
NAM,Namibia,4.4,57
SAU,Saudi Arabia,4.4,57
MYS,Malaysia,4.3,60
CUB,Cuba,4.2,61
LVA,Latvia,4.2,61
TUR,Turkey,4.2,61
GEO,Georgia,4.1,64
ZAF,South Africa,4.1,64
HRV,Croatia,4.0,66
MNE,Montenegro,4.0,66
SVK,Slovakia,4.0,66
GHA,Ghana,3.9,69
ITA,Italy,3.9,69
---,FYR Macedonia,3.9,69
WSM,Samoa,3.9,69
BRA,Brazil,3.8,73
TUN,Tunisia,3.8,73
CHN,China,3.6,75
ROU,Romania,3.6,75
GMB,Gambia,3.5,77
LSO,Lesotho,3.5,77
VUT,Vanuatu,3.5,77
COL,Colombia,3.4,80
SLV,El Salvador,3.4,80
GRC,Greece,3.4,80
MAR,Morocco,3.4,80
PER,Peru,3.4,80
THA,Thailand,3.4,80
BGR,Bulgaria,3.3,86
JAM,Jamaica,3.3,86
