ISO3166,country,Total adult literacy rate  percent  2005 to 2010,Under to 5 mortality rate 2010,GNI per capita US 2010,Maternal mortality ratio     2006 to 2010 reported,Number per 100 population  2010 mobile phones
CYP,Cyprus,,,,,
CAN,Canada,---,6,41950,---,71
STP,Sao Tome and Principe,89,80,1200,160,62
TKM,Turkmenistan,100,56,3700,12,63
---,Bolivia Plurinational State of,,,,,
KHM,Cambodia,78,51,760,460,58
ETH,Ethiopia,30,106,380,670,8
SWZ,Swaziland,87,78,2600,590,62
---,TimorLeste,51,55,2220,560,53
ARG,Argentina,98,14,8450,55,142
CMR,Cameroon,71,136,1160,670,42
BFA,Burkina Faso,29,176,550,310,35
GHA,Ghana,67,74,1240,450,71
SAU,Saudi Arabia,86,18,17200,---,188
CPV,Cape Verde,85,36,3160,54,75
SVN,Slovenia,100,3,23860,10,105
GTM,Guatemala,74,32,2740,130,126
ZWE,Zimbabwe,92,80,460,730,60
BIH,Bosnia and Herzegovina,98,8,4790,3,80
KWT,Kuwait,94,11,d,---,161
RUS,Russian Federation,100,12,9910,17,166
DEU,Germany,---,4,43330,---,127
DMA,Dominica,---,12,4960,---,145
LBR,Liberia,59,103,190,990,39
MDV,Maldives,98,15,4270,140,156
PAK,Pakistan,56,87,1050,250,59
LTU,Lithuania,100,7,11400,9,147
---,Tanzania United Republic of,73,76,530,450,47
SYC,Seychelles,92,14,9490,57,136
GAB,Gabon,88,74,7760,520,107
NIU,Niue,---,22,---,---,0
MCO,Monaco,---,4,197460,---,74
BHS,Bahamas,---,16,d,---,125
WSM,Samoa,99,20,2930,29,91
NZL,New Zealand,---,6,29050,---,115
YEM,Yemen,62,77,1060,370,46
JAM,Jamaica,86,24,4750,95,113
ALB,Albania,96,18,4000,21,142
---,Moldova Republic of,,,,,
ARE,United Arab Emirates,90,7,d,0,145
IND,India,63,63,1340,250,61
AZE,Azerbaijan,100,46,5180,24,99
LSO,Lesotho,90,85,1080,1200,32
VCT,Saint Vincent and the Grenadines,---,21,4850,---,121
KEN,Kenya,87,85,780,490,62
TJK,Tajikistan,100,63,780,86,86
---,Lao Peoples Democratic Republic,73,54,1010,410,65
AFG,Afghanistan,---,149,330,1600,41
BGD,Bangladesh,56,48,640,190,46
MRT,Mauritania,57,111,1060,690,79
SLB,Solomon Islands,---,27,1030,---,6
VNM,Viet Nam,93,23,1100,69,175
LCA,Saint Lucia,---,16,4970,---,103
SMR,San Marino,---,2,50670,---,76
MNG,Mongolia,97,32,1890,47,91
FRA,France,---,4,42390,---,100
SYR,Syrian Arab Republic,84,16,2640,65,57
RWA,Rwanda,71,91,540,750,33
SVK,Slovakia,---,8,16220,10,108
SOM,Somalia,---,180,a,1000,7
PER,Peru,90,19,4710,93,100
VUT,Vanuatu,82,14,2760,150,119
---,Iran Islamic Republic of,85,26,4530,25,91
NRU,Nauru,---,40,---,---,60
NOR,Norway,---,3,85380,---,113
MWI,Malawi,74,92,330,810,20
COK,Cook Islands,---,9,---,---,38
BEN,Benin,42,115,750,400,80
CUB,Cuba,100,6,5550,43,9
---,Korea Democratic Peoples Republic of,,,,,
USA,United States of America,---,8,47140,13,90
KNA,Saint Kitts and Nevis,---,8,9980,---,161
TGO,Togo,57,103,440,---,41
CHN,China,94,18,4260,32,64
ARM,Armenia,100,20,3090,27,125
DOM,Dominican Republic,88,27,4860,160,90
UKR,Ukraine,100,13,3010,16,119
BHR,Bahrain,91,10,25420,---,124
TON,Tonga,99,16,3380,140,52
FIN,Finland,---,3,47170,---,156
LBY,Libya,89,17,12020,---,172
---,Cote dIvoire,55,123,1070,540,76
IDN,Indonesia,92,35,2580,230,92
CAF,Central African Republic,55,159,460,540,23
MUS,Mauritius,88,15,7740,22,92
SWE,Sweden,---,3,49930,---,114
BLR,Belarus,100,6,6030,1,108
MLI,Mali,26,178,600,460,48
---,Occupied Palestinian,95,22,b,---,---
BGR,Bulgaria,98,13,6240,5,141
ROU,Romania,98,14,7840,21,115
AGO,Angola,70,161,3960,---,47
TCD,Chad,34,173,600,1100,23
ZAF,South Africa,89,57,6100,400,100
NIC,Nicaragua,78,27,1080,67,65
BRN,Brunei Darussalam,95,7,31180,---,109
QAT,Qatar,95,8,d,---,132
MYS,Malaysia,92,6,7900,29,121
AUT,Austria,---,4,46710,---,146
MOZ,Mozambique,55,135,440,500,31
UGA,Uganda,73,99,490,440,38
HUN,Hungary,99,6,12990,19,120
NER,Niger,29,143,360,650,25
BRA,Brazil,90,19,9390,75,104
TUR,Turkey,91,18,9500,29,85
GIN,Guinea,39,130,380,980,40
PAN,Panama,94,20,6990,60,185
GUY,Guyana,---,30,3270,86,74
CRI,Costa Rica,96,10,6580,21,65
LUX,Luxembourg,---,3,79510,---,143
AND,Andorra,---,4,41130,---,77
IRL,Ireland,---,4,40990,---,105
PLW,Palau,---,19,6460,---,71
NGA,Nigeria,61,143,1180,550,55
ECU,Ecuador,84,20,4510,61,102
CZE,Czech Republic,---,4,17870,2,137
AUS,Australia,---,5,43740,---,101
DZA,Algeria,73,36,4460,---,92
SLV,El Salvador,84,16,3360,59,124
TUV,Tuvalu,---,33,---,---,25
MHL,Marshall Islands,---,26,2990,74,7
CHL,Chile,99,9,9940,17,116
BEL,Belgium,---,4,45420,---,113
