Country Code,Country name,SI.POV.GAPS,SH.STA.MMRT.NE,SP.POP.GROW,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS,EN.POP.DNST,NY.GDP.MKTP.CD,SE.ADT.LITR.ZS,SH.STA.MMRT,AG.LND.TOTL.K2,SP.RUR.TOTL.ZS,NY.GNP.MKTP.CD,IT.CEL.SETS.P2,SH.DYN.MORT,SH.STA.STNT.ZS
DZA,Algeria,,,1.5294860407677013,13.800000190734863,68.823,14.236064809760931,135803556324.9203,,,2381740.0,35.42,134003556324.9203,81.2901232665435,34.9,
NAC,North America,,,0.9682665917740678,4.746872192899312,81.2007574399415,18.308197867160985,15391760777447.912,,,18255480.0,18.7048165534864,15506316301665.098,80.41311390931344,7.649210269447472,
EGY,"Egypt, Arab Rep.",,,1.800742088381472,8.899999618530273,43.1662,77.29325631623888,130477817194.4116,,,995450.0,57.32,131654817194.4116,39.1123708779956,27.6,
BGD,Bangladesh,,351.0,1.1199881568228747,,26.5392,1105.9138434355075,68415421372.719376,,,130170.0,73.34,73522980017.37619,23.8752172917425,57.4,43.2
NER,Niger,,,3.5435915400623617,,17.0856,11.00944343569906,4290510300.1041174,,,1266700.0,83.53999999999999,4290092996.1795826,6.45361977079324,152.3,
LIC,Low income,,,2.0814572839427967,,26.52691093134856,46.76140679775183,310173654256.1052,,,16077080.0,72.90713919417465,313928653907.932,14.450531879938438,108.48569389727898,
MIC,Middle income,,,1.1327009055151223,,47.1653455035043,60.30569634087686,14038638503831.932,,,79643917.0,53.23844436388759,13944617314026.582,44.94094031832865,53.92798673812181,
NAM,Namibia,,450.0,1.885723127916461,,36.153,2.622385793584278,8805815602.83688,,,823290.0,63.74,8629361702.127659,37.0669722424993,58.6,29.6
VEN,"Venezuela, RB",,57.0,1.658327616670991,7.5,92.4722,31.158097613513974,230364012575.687,95.1546396283597,,882050.0,7.019999999999996,232911012575.68704,86.3253882890298,17.3,15.6
BGR,Bulgaria,0.0,,-0.5111874154101824,6.900000095367432,71.117,70.52540281742013,42113655820.4824,,,108610.0,29.200000000000003,38877819936.3191,129.543329743152,14.6,
BOL,Bolivia,6.61,,1.671170359590959,5.199999809265137,65.073,8.735804486291887,13120517443.159616,90.7434698727354,,1083300.0,34.879999999999995,12631064539.895666,34.3890847114972,59.8,
GHA,Ghana,,450.0,2.414606068791804,,49.1024,99.81718818669245,24632480407.07683,,,227540.0,50.72,21391590366.915146,33.4797379211702,84.6,
PAK,Pakistan,,250.0,1.799215129249187,5.099999904632568,35.0414,213.32191261934412,143171182643.0967,,,770880.0,64.25999999999999,145773303993.99774,38.2234085490499,80.0,
WLD,World,,,1.184150231939313,,50.05327034271957,51.32693899783336,55796117314933.06,84.07079712,,129726589.0,50.55941770859178,55851079996120.92,50.61501339139712,59.78132996757448,
CPV,Cape Verde,,16.2,0.9895117615417091,,59.3466,119.85682382133994,1331208451.8952365,,,4030.0,41.12,1299812142.7917483,31.5123710465133,26.3,
ROU,Romania,0.31,15.0,-0.18914314656965395,6.400000095367432,52.774,93.72688242202793,169282491900.09433,,,229890.0,45.94,169087625031.92798,94.2485906370678,17.5,
JOR,Jordan,,,2.2324348848877835,13.100000381469727,81.6954,64.16591115140525,17110610000.125765,92.1995768836011,,88240.0,21.620000000000005,17794107892.744255,84.1938948481705,23.2,
LBR,Liberia,40.9,990.0,4.815568761809394,5.599999904632568,46.751,36.10046719269103,739000000.0,,,96320.0,40.54,584800000.0000001,16.1912022816079,103.6,39.4
MUS,Mauritius,,,0.6131885779626948,8.5,42.0196,620.8881773399015,7792060059.611472,,,2030.0,57.58,8016365393.370655,72.795986359895,15.6,
LBY,Libya,,,2.170384228198056,,77.1436,3.4230838741943916,71803278688.5246,,,1759540.0,22.64,74070278688.5246,74.7129404307085,19.5,21.0
MYS,Malaysia,0.0,29.0,1.733366597344842,3.200000047683716,69.3474,82.33493227819206,186777261970.73645,,,328550.0,30.560000000000002,182709202941.91034,86.3068923300909,7.8,
PRI,Puerto Rico,,,-0.5856207571595283,10.899999618530273,98.092,426.49323562570464,88404546617.19093,,,8870.0,1.9200000000000017,59520504000.0,64.5750628617806,,
SXM,Sint Maarten (Dutch part),,,3.0670305603270527,,,1160.7058823529412,,,,34.0,,,,,
PRK,"Korea, Dem. Rep.",,,0.5267841752905178,,59.967,199.39046590814718,,,,120410.0,37.68,,0.0,31.7,
PSE,West Bank and Gaza,0.12,,3.47774956124427,21.600000381469727,73.4898,636.5757475083057,,93.8821354501683,,6020.0,28.200000000000003,,27.398337937359,24.8,11.8
TZA,Tanzania,28.1,,2.826588098191742,,25.0268,46.3628189207496,16825547176.032372,,,885800.0,74.92,16665948715.67515,20.093412942403,87.2,
BWA,Botswana,,,1.3914489950290112,,58.7828,3.4011610467065445,12379018582.445383,,,566730.0,41.18,11640885508.176163,59.7528974755388,34.2,
KHM,Cambodia,7.68,,1.1327603423559116,,19.43,77.44083956492182,8639164917.037374,,,176520.0,79.06,8262899137.587249,18.8979153183534,58.0,
SAS,South Asia,,,1.4982918612792844,,29.545326696461707,327.67328293392467,1505361106850.0715,,,4771220.0,70.81623449356161,1507995722980.43,22.241832550132944,70.89182440142581,
PRY,Paraguay,3.5,,1.8255616775029297,5.599999904632568,59.6286,15.4022023659703,12222355340.719158,94.5582182312472,,397300.0,40.3,12067355341.255648,76.714082259476,26.2,
HKG,"Hong Kong SAR, China",,,0.9983395694696858,4.0,100.0,6646.737044145873,207087259792.55896,,,1042.0,0.0,212783276541.65366,156.437744260692,,
SAU,Saudi Arabia,,14.3,2.802129248543614,5.599999904632568,81.421,11.864118082142076,384891141942.36926,,,2149690.0,17.42,391287141942.36926,111.354313113272,12.4,
LBN,Lebanon,,,0.9089835359554467,9.0,86.7964,404.1908113391985,25056716417.910446,89.6124388817029,,10230.0,13.159999999999997,25797416417.910446,30.4725273236995,12.0,
SVN,Slovenia,,,0.5592078155368311,4.800000190734863,50.265,100.2046673286991,47306799054.20203,,,20140.0,51.1,46301493951.54667,95.8290949116578,3.8,
BFA,Burkina Faso,,,2.9575994993849877,3.299999952316284,23.189,55.04797880116959,6755806771.9939575,28.7292135965511,,273600.0,80.86,6753586962.617992,12.3366465205426,157.3,
SVK,Slovak Republic,0.12,,0.10954027460061125,11.0,55.2714,112.21035343035344,84108560087.59923,,,48100.0,43.56,81480851355.05064,111.730658257616,9.2,
KEN,Kenya,,,2.5513920774453274,,22.4334,65.86296166145412,27236739895.93727,,,569140.0,78.7,27092736032.015274,30.277010853817,86.5,
MRT,Mauritania,,690.0,2.608308421937384,,40.7038,3.116980692733094,3356758533.5670786,,,1030700.0,59.2,3347677675.372477,44.01218051516,114.3,28.9
CHI,Channel Islands,,,0.6705066552468432,,30.8206,793.1,11514605842.336935,,,190.0,69.02,10888355342.136854,,,
