"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"41","AA","National","2002","Cumulative AIDS cases","O","B","ALL","W0197","Reported as of 21 Oct. 02.","R","Aruba","World Health Organization",2002,"Global Situation of the AIDS Pandemic, End 2002","Weekly Epidemiological Record, December 6, vol. 77, no. 49, pp. 417-424.","AIDS","37","0","-1.00","N/A","","","-1"
"21","AA","National","1997","Cumulative AIDS cases","O","B","ALL","W0144","Reported as of 15 Apr. 97.","R","Aruba","World Health Organization",1999,"UNAIDS/WHO Global AIDS Statistics","AIDS Care, vol. 11, no. 2, pp. 254-264.","AIDS","24","0","-1.00","N/A","","","-1"
"90","AA","National","1996","Cumulative AIDS cases","O","B","ALL","W0114","Reported as of 31 Mar. 96.","R","Aruba","World Health Organization",1996,"World Health Organization Global AIDS Statistics","AIDS, vol. 8, no. 5, pp. 619-623.","AIDS","22","0","-1.00","N/A","","","-1"
"24","AA","National","1996","Cumulative AIDS cases & deaths","O","B","ALL","P0232","Reported as of Apr. 96.","R","Aruba","Pan American Health Organization",2000,"Update on HIV/AIDS Surveillance in the Americas","Epidemiological Bulletin/PAHO, vol. 21, no. 3, pp. 10-11.","AIDS","37","17","-1.00","N/A","","","-1"
"23","AA","National","1995","Cumulative AIDS cases & deaths","O","B","ALL","P0163","Reported as of 10 Mar. 96.","R","Aruba","Pan American Health Organization",1996,"Number of Reported Cases of AIDS by Year, and Cumulative Cases and Deaths, by Country and Subregion, As of 10 March, 1996","Pan American Health Organization, pp. 1-3.","AIDS","20","16","-1.00","N/A","","","-1"
"23","AC","National","2000","Cumulative AIDS cases & deaths","O","B","ALL","P0232","Reported as of Mar. 00.","R","Antigua and Barbuda","Pan American Health Organization",2000,"Update on HIV/AIDS Surveillance in the Americas","Epidemiological Bulletin/PAHO, vol. 21, no. 3, pp. 10-11.","AIDS","113","75","-1.00","N/A","","","-1"
"171","AC","National","2003","AIDS cases","O","F","UNK","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","0","0","-1.00","N/A","","","-1"
"1","AC","National","1988","Cumulative AIDS cases & deaths","O","B","ALL","P0029","Reported as of 31 Dec. 88.","R","Antigua and Barbuda","Pan American Health Organization",1989,"AIDS Survellance in the Americans","PAHO, Pan American Sanitary Burears, Regional Office of the WHO.","AIDS","3","2","-1.00","N/A","","","-1"
"172","AC","National","2004","AIDS cases & deaths","O","B","ALL","C0640","Distribution by sex & age is provided.","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","1","12","-1.00","N/A","","","-1"
"88","AC","National","2001","AIDS cases","O","F","UNK","C0640","","R","Antigua and Barbuda","CAREC, PAHO, WHO",2007,"Antigua and Barbuda - Reported AIDS Cases, Deaths and HIV Testing in Pregnant Women, 2000-2005","Caribbean Epidemiology Centre, July, tables.","AIDS","0","0","-1.00","N/A","","","-1"
